source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,p_pm,pm_method,r_proj_arcmin,p_spatial,p_cmd,membership_prob,is_member,dist_pc,dist_pc_err
6440112179690469120,287.092481596534,-60.8256248536973,0.3826302370162386,0.13966967,6.137099406601056,0.109396435,-4.024097934447206,0.11311479,18.13403,18.680635,17.50941,1.1712246,0.9760821,0.0,gmm2,53.83142591942738,0.01,3.085095259838052e-17,0.0,False,,
6440121010143517440,287.61870239912025,-60.835062515346266,0.73489293673677,0.68087274,-3.2158682500163067,0.6274633,-2.677021022131732,0.47589347,20.143269,20.858002,19.239801,1.6182003,0.99336165,0.1543593098322521,gmm2,51.11314271021628,0.01,0.0024090053483467,0.0013052085538147,False,,
6440122968648278144,287.9405059779162,-60.84426564864938,0.4612989010052993,0.14762919,-1.4316066379851136,0.13084081,-10.48172712545298,0.122259825,18.350248,18.768679,17.810247,0.95843124,0.97613895,0.0,gmm2,52.01395136677307,0.01,0.0100240007718971,0.0,False,,
6440123003007963776,287.85158410994933,-60.87729823778284,0.0570795375007337,0.33787614,2.844309016506549,0.3434193,-1.5560319509095897,0.29427245,19.585161,20.020859,18.957775,1.0630836,0.9694405,0.0,gmm2,53.713769683986406,0.01,0.9698556299434872,0.0,False,,
6440123003007973760,287.8460497626336,-60.8708146250134,0.2569279672070209,0.62868315,-5.935730475567363,0.6086811,3.798166312106896,0.5437912,20.29111,21.112417,19.409056,1.7033615,1.0044622,0.0,gmm2,53.31354494797765,0.01,0.0015742593364148,0.0,False,,
6440123037367735808,287.8735196373043,-60.855953242274346,0.1252805849449422,0.36862707,0.086916050779946,0.36923304,-2.250555314492954,0.3218275,19.688755,20.27086,19.070398,1.2004623,0.98542553,0.0,gmm2,52.49156313931738,0.01,0.3993659227920995,0.0,False,,
6440123449684594304,288.0932421689593,-60.85414470569688,0.3263685862421935,0.6935104,4.765853377037283,0.9390688,-9.924608720307702,0.70314634,20.37227,21.000286,19.349134,1.6511517,1.0093921,0.0,gmm2,53.38016484123309,0.01,0.0103341592995998,0.0,False,,
6440123449684605184,288.10684243426954,-60.8478765597527,-0.3615323282865553,0.3086437,-0.6082922512667666,0.29781127,-1.1602407913417627,0.23951043,19.402523,19.872797,18.891705,0.98109245,1.0007883,0.0,gmm2,53.10107026308949,0.01,0.9775596239544306,0.0,False,,
6440123484044337536,288.06685261556504,-60.85155829641896,-0.0257886317649284,0.44774324,-5.768941198527471,0.4480083,-3.996937592223793,0.40747082,19.85185,20.421787,19.24043,1.1813564,0.9926497,0.0,gmm2,53.06615495331194,0.01,0.7622027546340963,0.0,False,,
6440123831935802112,288.1267942419908,-60.85018663870926,1.488649988048378,0.5760113,0.0272562106972667,0.53600246,-0.0311876792306534,0.49155843,20.102486,21.084528,18.962791,2.1217365,1.0226402,0.0,gmm2,53.371058964389455,0.01,1.2681143634804805e-12,0.0,False,,
6440124484774462976,287.99784901660075,-60.82014190239004,0.3335861532489151,0.78030723,9.727843282797844,0.7276942,-11.66012631055428,0.6859821,20.395988,21.072182,19.673052,1.3991299,1.0888705,0.0,gmm2,50.83574572185568,0.01,0.3799344563845713,0.0,False,,
6440124927153429376,288.09733017578435,-60.797868523963984,0.1930874433144978,0.09823501,-2.684420222968626,0.08802027,-2.947585730103878,0.077551134,17.394814,17.730236,16.891567,0.8386688,1.0502014,0.4926254215295054,gmm2,50.11286410130923,0.01,0.0012027197852265,0.0068571019368088,False,,
6440125034528364800,288.1202117420311,-60.76864790993616,-0.1529542777420311,0.15052013,-4.833650632679783,0.12737685,-4.504837313173625,0.120360956,18.325901,18.659025,17.844578,0.8144474,1.0022683,0.0,gmm2,48.57383462848913,0.01,0.9748058396655944,0.0,False,,
6440125098954479744,288.1684965102424,-60.76569520838928,0.3469110150227154,0.8344768,0.5869945988779093,0.70991075,-7.722770977341295,0.8076018,20.42698,21.068892,19.31734,1.7515507,1.0117816,0.0,gmm2,48.78471797908877,0.01,0.0021785227480886,0.0,False,,
