cluster,common_name,strategy,filtered_stars,members,member_fraction
NGC 5139,Omega Centauri,clean,174486,100705,0.5772
NGC 104,47 Tucanae,companion,96879,68964,0.7119
NGC 6752,,clean,67767,27092,0.3998
NGC 6656,M22,crowded,315019,24371,0.0774
NGC 6397,,crowded,41261,22083,0.5352
NGC 5904,M5,clean,18952,16271,0.8585
NGC 6809,M55,clean,21065,14862,0.7055
NGC 5272,M3,clean,17035,14840,0.8711
NGC 7078,M15,clean,14389,9315,0.6474
NGC 6341,M92,clean,9138,7518,0.8227
NGC 6266,M62,crowded,39280,7176,0.1827
NGC 362,,companion,10000,6988,0.6988
NGC 288,,clean,7516,6588,0.8765
NGC 7089,M2,clean,7388,5615,0.76
NGC 5024,M53,clean,5696,4990,0.8761
NGC 6273,M19,crowded,49316,4947,0.1003
NGC 1851,,clean,5036,3648,0.7244
NGC 5286,,crowded,6085,3238,0.5321
NGC 6440,,crowded,9352,2065,0.2208
NGC 6544,,crowded,1551,1011,0.6518
NGC 2419,,distant,1071,781,0.7292
Terzan 5,,crowded,10228,582,0.0569
Pal 5,,sparse,492,244,0.4959
