cluster,n_members,dist_kpc,feh,conc,r_h_arcmin,lit_rotation,age_gyr,trh_gyr,dyn_age,v_peak,sigma0,vsig_peak,vsig_peak_err,quality,rotation_detected,rotation_detection_p,counter_rotation,axis_incl_deg,axis_twist_deg,r_h_pc,log_n
NGC5139,50865,5.2,-1.53,1.31,5.0,Confirmed rotator,11.52,20.893,0.551,6.088328691988287,11.799050188873222,0.5160015928849698,0.015081092958845218,good,True,0.0,False,144.20823004276886,11.40041158585143,7.563093425308762,4.706419048833768
NGC104,37784,4.5,-0.72,2.07,3.17,Confirmed rotator,13.06,5.012,2.606,6.152365765579707,9.803293449548802,0.6275815160733428,0.019385792960967336,good,True,0.0,False,19.930075815631337,20.945258341242972,4.149520296616519,4.577307932568644
NGC7078,4698,10.4,-2.37,2.29,1.0,Confirmed rotator,12.93,1.622,7.972,4.721816974071347,16.248863374168696,0.2905936781755307,0.05936930607523885,good,True,4.8680914464656834e-08,False,168.04180157058101,,3.0252373701235045,3.671913012441587
NGC7089,2756,11.5,-1.65,1.59,1.06,Confirmed rotator,11.78,2.818,4.18,3.044015892457545,21.424237905819798,0.14208280853857827,0.04959138678691874,contaminated,False,0.19158571338651276,False,44.18948515116499,,3.545927263635147,3.440279213235588
NGC5904,8519,7.5,-1.29,1.73,1.77,Confirmed rotator,10.62,3.162,3.359,4.067319193707553,8.718762267461257,0.46650190347395276,0.06328122232163051,good,True,1.8090851542523265e-30,False,150.17200491965158,,3.8615409700374537,3.9303886182443217
NGC6656,24126,3.2,-1.7,1.38,3.36,Confirmed rotator,12.67,3.09,4.1,2.525446656161567,7.966425682140452,0.3170112616280655,0.018711964308994643,good,True,2.5735923447070665e-232,False,152.97260033524532,24.574531806560007,3.1276300195738385,4.382485323486555
NGC6273,3712,8.8,-1.74,1.53,1.32,Confirmed rotator,11.9,2.951,4.033,2.9400388230628094,5.788218911896745,0.5079349740936778,0.11984133079810148,error-dominated,True,8.040465187218182e-20,False,141.47451569837472,,3.3789574318610223,3.5696079675468244
NGC5272,7808,10.2,-1.5,1.89,2.31,Borderline rotator,11.39,3.162,3.602,3.628232627447108,13.0319123112924,0.27841137515199327,0.06114319122113154,good,True,6.688169407198076e-07,False,16.93553798780371,,6.853907972581731,3.8925398046586355
NGC6752,15084,4.0,-1.54,2.5,1.91,Borderline rotator,11.78,1.995,5.905,1.404646580755182,5.398111860781021,0.2602107212635553,0.03987537914125489,good,True,2.742425392004385e-15,False,20.037482063436606,49.054475336888196,2.2223859142061126,4.178516523733583
NGC6809,7539,5.4,-1.94,0.93,2.83,Borderline / non-rotator,12.29,3.162,3.887,1.7925372388021887,4.225293418706524,0.42423970625711777,0.07953735860947615,good,True,4.897507801329308e-10,False,125.25850091323724,,4.445353604829558,3.8773137433122384
